,Query,TPCDS,GPT,Improvement
0,2,0.334,0.334,0.0
1,3,0.03,0.026000000000000002,0.13333333333333322
2,5,0.44400000000000006,0.386,0.13063063063063074
3,6,53.275999999999996,0.238,0.9955326976499738
4,7,0.42399999999999993,0.42000000000000004,0.009433962264150692
5,8,0.05600000000000001,0.036,0.35714285714285726
6,9,1.8,0.344,0.8088888888888889
7,10,3.3019999999999996,3.306,-0.0012113870381588274
8,12,0.05,0.05,0.0
9,13,0.264,0.264,0.0
10,15,0.088,0.084,0.04545454545454534
11,16,0.194,0.176,0.09278350515463925
12,17,1.5880000000000003,0.622,0.6083123425692696
13,18,0.20800000000000002,0.20600000000000002,0.009615384615384623
14,19,0.122,0.12,0.016393442622950834
15,20,0.07200000000000001,0.07,0.0277777777777778
16,21,0.34,0.34400000000000003,-0.011764705882352951
17,22,3.3880000000000003,3.382,0.0017709563164109289
18,25,1.1359999999999997,0.33,0.709507042253521
19,26,0.19,0.186,0.021052631578947385
20,27,0.378,0.362,0.04232804232804237
21,28,1.3080000000000003,1.2260000000000002,0.06269113149847098
22,29,0.58,0.582,-0.003448275862068969
23,31,4.532000000000001,0.748,0.8349514563106796
24,32,0.062,0.07400000000000001,-0.19354838709677435
25,34,0.1,0.098,0.020000000000000018
26,35,0.784,0.784,0.0
27,36,0.3,0.272,0.09333333333333324
28,37,0.022000000000000002,0.022,1.5770213417970973e-16
29,38,1.106,0.5780000000000001,0.47739602169981915
30,40,0.07,0.07,0.0
31,41,0.776,0.03,0.9613402061855669
32,42,0.11399999999999999,0.11200000000000002,0.01754385964912258
33,43,0.21000000000000002,0.22199999999999998,-0.057142857142856926
34,44,0.512,0.27,0.47265625
35,45,0.062,0.06,0.03225806451612906
36,46,0.2,0.192,0.040000000000000036
37,47,1.11,1.134,-0.02162162162162144
38,48,0.308,0.30000000000000004,0.025974025974025816
39,50,0.032,0.032,0.0
40,51,0.8560000000000001,0.8560000000000001,0.0
41,52,0.11599999999999999,0.11599999999999999,0.0
42,53,0.168,0.168,0.0
43,54,0.118,0.13,-0.10169491525423738
44,55,0.07,0.07200000000000001,-0.028571428571428595
45,57,0.564,0.5599999999999999,0.0070921985815602905
46,58,0.246,0.22400000000000003,0.08943089430894294
47,60,0.74,0.5780000000000001,0.21891891891891882
48,61,0.11199999999999999,0.11200000000000002,-2.4781763942525816e-16
49,62,0.10200000000000001,0.10400000000000001,-0.01960784313725492
50,65,0.518,0.264,0.49034749034749037
51,67,0.9560000000000001,0.922,0.035564853556485386
52,68,0.10600000000000001,0.1,0.0566037735849057
53,69,0.38199999999999995,0.382,-1.4531714982004669e-16
54,70,0.368,0.362,0.01630434782608697
55,71,0.186,0.186,0.0
56,72,0.20800000000000002,0.21000000000000002,-0.009615384615384623
57,73,0.082,0.084,-0.024390243902439046
58,75,0.728,0.73,-0.0027472527472527496
59,76,0.22400000000000003,0.22000000000000003,0.01785714285714287
60,78,1.718,1.8980000000000001,-0.10477299185098962
61,80,0.3,0.304,-0.013333333333333346
62,81,30.506,0.082,0.9973120041958958
63,82,0.03,0.03,0.0
64,83,0.07400000000000001,0.07400000000000001,0.0
65,84,0.048,0.048,0.0
66,85,0.092,0.08,0.13043478260869562
67,86,0.12,0.122,-0.016666666666666684
68,87,1.108,1.078,0.02707581227436825
69,88,1.956,2.2,-0.12474437627811873
70,89,0.164,0.16599999999999998,-0.012195121951219353
71,90,0.07,0.07,0.0
72,91,0.034,0.03,0.11764705882352951
73,92,0.044000000000000004,0.042,0.04545454545454549
74,93,0.022,0.02,0.09090909090909084
75,94,0.052000000000000005,0.05600000000000001,-0.07692307692307698
76,95,10.334,0.194,0.9812270176117669
77,96,0.086,0.086,0.0
78,97,0.376,0.366,0.02659574468085109
79,98,0.12,0.118,0.016666666666666684
80,99,0.178,0.174,0.02247191011235957
