,Query,TPCH,GPT,Improvement
0,1,1.296,1.34,-0.03395061728395064
1,2,0.21400000000000002,0.198,0.07476635514018698
2,3,0.294,0.28600000000000003,0.027210884353741333
3,4,0.14200000000000002,0.19,-0.3380281690140844
4,5,0.306,0.304,0.006535947712418307
5,6,0.20600000000000002,0.20600000000000002,0.0
6,7,0.33,0.328,0.006060606060606066
7,8,0.14200000000000002,0.14200000000000002,0.0
8,9,0.858,0.812,0.05361305361305353
9,10,0.238,0.24,-0.008403361344537823
10,11,0.08,0.07,0.12499999999999993
11,12,0.33,0.32,0.030303030303030328
12,13,0.30200000000000005,0.28800000000000003,0.04635761589403977
13,14,0.12,0.124,-0.03333333333333337
14,15,0.42800000000000005,0.43600000000000005,-0.018691588785046745
15,16,0.194,0.19,0.020618556701030945
16,17,1.1599999999999997,1.172,-0.0103448275862071
17,18,1.8099999999999998,1.746,0.03535911602209936
18,19,0.042,0.04,0.04761904761904766
19,20,0.9400000000000001,0.9219999999999999,0.0191489361702129
20,21,0.328,0.326,0.0060975609756097615
21,22,0.06,0.057999999999999996,0.03333333333333337
